count,length
58,1
40,2
107,3
331,4
344,5
6518,6
9715,7
9437,8
7136,9
5662,10
1158,11
456,12
206,13
110,14
61,15
49,16
23,17
23,18
16,19
16,20
12,21
7,22
4,23
10,24
2,25
4,26
5,27
4,28
4,29
1,30
4,31
2,32
~ 1,33
~ 3,34
~ 1,35
~ 1,38
~ 1,39
~ 1,40
~ 1,41
~ 1,42
~ 1,43
~ 2,44
~ 1,45
~ 1,49
~ 1,50
~ 1,60
~ 1,1650
~ 1,5296
~ 1,6341
