count,length
1097730,6
1140632,7
2775850,8
1470025,9
1019094,10
511752,11
302474,12
148909,13
84732,14
41179,15
20776,16
~ 1703,17
~ 800,18
~ 384,19
~ 202,20
~ 89,21
~ 48,22
~ 29,23
~ 34,24
~ 11,25
~ 5,26
~ 3,27
~ 1,28
~ 1,29
~ 5,30
~ 3,37
~ 1,38
~ 1,39
~ 5,30
~ 3,32
~ 2,33
~ 6,36
~ 2,40
~ 3,54
